Role,Skill,Count
Art Director Brand &amp; Concepts,REST,0
Art Director Brand &amp; Concepts,GraphQL,0
Ascent Environmental,Python,0
Ascent Environmental,SQL,0
Ascent Environmental,Pandas,0
Ascent Environmental,NumPy,0
Ascent Environmental,FastAPI,0
Ascent Environmental,Flask,0
Ascent Environmental,Django,0
Ascent Environmental,Docker,0
Ascent Environmental,Kubernetes,0
Ascent Environmental,AWS,0
Ascent Environmental,Azure,0
Ascent Environmental,GCP,0
Ascent Environmental,Git,0
Ascent Environmental,Linux,0
Ascent Environmental,React,0
Ascent Environmental,JavaScript,0
Ascent Environmental,TypeScript,0
Ascent Environmental,Node.js,0
Ascent Environmental,MongoDB,0
Ascent Environmental,PostgreSQL,0
Ascent Environmental,MySQL,0
Ascent Environmental,Redis,0
Ascent Environmental,Kafka,0
Ascent Environmental,Spark,0
Ascent Environmental,Airflow,0
Ascent Environmental,TensorFlow,0
Ascent Environmental,PyTorch,0
Ascent Environmental,Power BI,0
Ascent Environmental,Tableau,0
Ascent Environmental,Excel,0
Ascent Environmental,REST,0
Ascent Environmental,GraphQL,0
Attendant Laundry,Git,1
Attendant Laundry,Excel,1
Attendant Laundry,Python,0
Attendant Laundry,SQL,0
Attendant Laundry,Pandas,0
Attendant Laundry,NumPy,0
Attendant Laundry,FastAPI,0
Attendant Laundry,Flask,0
Attendant Laundry,Django,0
Attendant Laundry,Docker,0
Attendant Laundry,Kubernetes,0
Attendant Laundry,AWS,0
Attendant Laundry,Azure,0
Attendant Laundry,GCP,0
Attendant Laundry,Linux,0
Attendant Laundry,React,0
Attendant Laundry,JavaScript,0
Attendant Laundry,TypeScript,0
Attendant Laundry,Node.js,0
Attendant Laundry,MongoDB,0
Attendant Laundry,PostgreSQL,0
Attendant Laundry,MySQL,0
Attendant Laundry,Redis,0
Attendant Laundry,Kafka,0
Attendant Laundry,Spark,0
Attendant Laundry,Airflow,0
Attendant Laundry,TensorFlow,0
Attendant Laundry,PyTorch,0
Attendant Laundry,Power BI,0
Attendant Laundry,Tableau,0
Attendant Laundry,REST,0
Attendant Laundry,GraphQL,0
Bid Manager,Git,2
Bid Manager,Excel,2
Bid Manager,REST,1
Bid Manager,Python,0
Bid Manager,SQL,0
Bid Manager,Pandas,0
Bid Manager,NumPy,0
Bid Manager,FastAPI,0
Bid Manager,Flask,0
Bid Manager,Django,0
Bid Manager,Docker,0
Bid Manager,Kubernetes,0
Bid Manager,AWS,0
Bid Manager,Azure,0
Bid Manager,GCP,0
Bid Manager,Linux,0
Bid Manager,React,0
Bid Manager,JavaScript,0
Bid Manager,TypeScript,0
Bid Manager,Node.js,0
Bid Manager,MongoDB,0
Bid Manager,PostgreSQL,0
Bid Manager,MySQL,0
Bid Manager,Redis,0
Bid Manager,Kafka,0
Bid Manager,Spark,0
Bid Manager,Airflow,0
Bid Manager,TensorFlow,0
Bid Manager,PyTorch,0
Bid Manager,Power BI,0
Bid Manager,Tableau,0
Bid Manager,GraphQL,0
Block Operator,Python,0
Block Operator,SQL,0
Block Operator,Pandas,0
Block Operator,NumPy,0
Block Operator,FastAPI,0
Block Operator,Flask,0
Block Operator,Django,0
Block Operator,Docker,0
Block Operator,Kubernetes,0
Block Operator,AWS,0
Block Operator,Azure,0
Block Operator,GCP,0
Block Operator,Git,0
Block Operator,Linux,0
Block Operator,React,0
Block Operator,JavaScript,0
Block Operator,TypeScript,0
Block Operator,Node.js,0
Block Operator,MongoDB,0
Block Operator,PostgreSQL,0
Block Operator,MySQL,0
Block Operator,Redis,0
Block Operator,Kafka,0
Block Operator,Spark,0
Block Operator,Airflow,0
Block Operator,TensorFlow,0
Block Operator,PyTorch,0
Block Operator,Power BI,0
Block Operator,Tableau,0
Block Operator,Excel,0
Block Operator,REST,0
Block Operator,GraphQL,0
British English Voice Recording Specialist Lancaster,Git,1
British English Voice Recording Specialist Lancaster,Excel,1
British English Voice Recording Specialist Lancaster,Python,0
British English Voice Recording Specialist Lancaster,SQL,0
British English Voice Recording Specialist Lancaster,Pandas,0
British English Voice Recording Specialist Lancaster,NumPy,0
British English Voice Recording Specialist Lancaster,FastAPI,0
British English Voice Recording Specialist Lancaster,Flask,0
British English Voice Recording Specialist Lancaster,Django,0
British English Voice Recording Specialist Lancaster,Docker,0
British English Voice Recording Specialist Lancaster,Kubernetes,0
British English Voice Recording Specialist Lancaster,AWS,0
British English Voice Recording Specialist Lancaster,Azure,0
British English Voice Recording Specialist Lancaster,GCP,0
British English Voice Recording Specialist Lancaster,Linux,0
British English Voice Recording Specialist Lancaster,React,0
British English Voice Recording Specialist Lancaster,JavaScript,0
British English Voice Recording Specialist Lancaster,TypeScript,0
British English Voice Recording Specialist Lancaster,Node.js,0
British English Voice Recording Specialist Lancaster,MongoDB,0
British English Voice Recording Specialist Lancaster,PostgreSQL,0
British English Voice Recording Specialist Lancaster,MySQL,0
British English Voice Recording Specialist Lancaster,Redis,0
British English Voice Recording Specialist Lancaster,Kafka,0
British English Voice Recording Specialist Lancaster,Spark,0
British English Voice Recording Specialist Lancaster,Airflow,0
British English Voice Recording Specialist Lancaster,TensorFlow,0
British English Voice Recording Specialist Lancaster,PyTorch,0
British English Voice Recording Specialist Lancaster,Power BI,0
British English Voice Recording Specialist Lancaster,Tableau,0
British English Voice Recording Specialist Lancaster,REST,0
British English Voice Recording Specialist Lancaster,GraphQL,0
